id_cliente,nome_cliente,tipo_cliente,segmento,cidade,estado,regiao
1,Ana Rodrigues,B2C,Consumidor Final,Campinas,SP,Sudeste
2,AlphaMidia S.A.,B2B,Indústria,Belo Horizonte,MG,Sudeste
3,Carlos Gomes,B2C,Consumidor Final,Goiânia,GO,Centro-Oeste
4,TechSolutions S.A.,B2B,Financeiro,São Paulo,SP,Sudeste
5,EcoVida S.A.,B2B,Educação,Goiânia,GO,Centro-Oeste
6,BlueOcean Tech,B2B,Financeiro,Fortaleza,CE,Nordeste
7,NexusCorp S.A.,B2B,Financeiro,Salvador,BA,Nordeste
8,Lucas Rodrigues,B2C,Consumidor Final,Florianópolis,SC,Sul
9,CoreBiz Brasil,B2B,Tecnologia,Belo Horizonte,MG,Sudeste
10,InovaGlobal Brasil,B2B,Varejo,Florianópolis,SC,Sul
11,Ana Pereira,B2C,Consumidor Final,Curitiba,PR,Sul
12,Fernanda Santos,B2C,Consumidor Final,Campinas,SP,Sudeste
13,Lucas Gomes,B2C,Consumidor Final,Curitiba,PR,Sul
14,InovaGlobal S.A.,B2B,Indústria,Fortaleza,CE,Nordeste
15,NexusCorp S.A.,B2B,Financeiro,Manaus,AM,Norte
16,NexusCorp Tech,B2B,Indústria,Florianópolis,SC,Sul
17,OmniGroup Brasil,B2B,Financeiro,Rio de Janeiro,RJ,Sudeste
18,Carlos Gomes,B2C,Consumidor Final,Curitiba,PR,Sul
19,Bruno Oliveira,B2C,Consumidor Final,Rio de Janeiro,RJ,Sudeste
20,NexusCorp LTDA,B2B,Indústria,Florianópolis,SC,Sul
21,CoreBiz S.A.,B2B,Financeiro,Manaus,AM,Norte
22,OmniGroup Tech,B2B,Varejo,Manaus,AM,Norte
23,Krypton Brasil,B2B,Financeiro,Belo Horizonte,MG,Sudeste
24,Fernanda Pereira,B2C,Consumidor Final,Brasília,DF,Centro-Oeste
25,AlphaMidia LTDA,B2B,Indústria,Curitiba,PR,Sul
26,Juliana Gomes,B2C,Consumidor Final,Goiânia,GO,Centro-Oeste
27,VanguardTec Brasil,B2B,Financeiro,Salvador,BA,Nordeste
28,HorizontInvest S.A.,B2B,Tecnologia,Goiânia,GO,Centro-Oeste
29,BlueOcean LTDA,B2B,Indústria,Rio de Janeiro,RJ,Sudeste
30,InovaGlobal Tech,B2B,Saúde,Salvador,BA,Nordeste
31,Juliana Lima,B2C,Consumidor Final,Brasília,DF,Centro-Oeste
32,Starlight S.A.,B2B,Indústria,Recife,PE,Nordeste
33,Juliana Ferreira,B2C,Consumidor Final,Manaus,AM,Norte
34,VanguardTec LTDA,B2B,Saúde,Curitiba,PR,Sul
35,Krypton Brasil,B2B,Educação,Fortaleza,CE,Nordeste
36,Krypton S.A.,B2B,Indústria,Goiânia,GO,Centro-Oeste
37,DataPulse LTDA,B2B,Financeiro,Recife,PE,Nordeste
38,AlphaMidia S.A.,B2B,Educação,Manaus,AM,Norte
39,TechSolutions S.A.,B2B,Varejo,Brasília,DF,Centro-Oeste
40,TechSolutions LTDA,B2B,Educação,Belo Horizonte,MG,Sudeste
41,Starlight Tech,B2B,Tecnologia,Campinas,SP,Sudeste
42,Mariana Oliveira,B2C,Consumidor Final,Manaus,AM,Norte
43,Mariana Rodrigues,B2C,Consumidor Final,Brasília,DF,Centro-Oeste
44,Fernanda Souza,B2C,Consumidor Final,Salvador,BA,Nordeste
45,Bruno Rodrigues,B2C,Consumidor Final,Manaus,AM,Norte
